yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG01863		D8J3B6	D8J3B6_HALJB	unreviewed	DNA binding domain-containing protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;		hje:HacjB3_09200;	Halobacteria	Halobacteriaceae	Halalkalicoccus		Halobacteriales	Euryarchaeota	Halalkalicoccus jeotgali	
arCOG01863		D9PWX1	D9PWX1_METTM	unreviewed	Predicted transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mmg:MTBMA_c11250;	Methanobacteria	Methanobacteriaceae	Methanothermobacter		Methanobacteriales	Euryarchaeota	Methanothermobacter marburgensis	
arCOG01863		D9Q059	D9Q059_ACIS3	unreviewed	Putative HTH-type transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	asc:ASAC_0290;	Thermoprotei	Acidilobaceae	Acidilobus		Acidilobales	Crenarchaeota	Acidilobus saccharovorans	
arCOG01863		E0SPT2	E0SPT2_IGNAA	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	iag:Igag_0102;	Thermoprotei	Desulfurococcaceae	Ignisphaera		Desulfurococcales	Crenarchaeota	Ignisphaera aggregans	
arCOG01863		E1QRR6	E1QRR6_VULDI	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	vdi:Vdis_0026;	Thermoprotei	Thermoproteaceae	Vulcanisaeta		Thermoproteales	Crenarchaeota	Vulcanisaeta distributa	
arCOG01863		E1RJV1	E1RJV1_METP4	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mpi:Mpet_2087;	Methanomicrobia	Methanomicrobiaceae	Methanolacinia		Methanomicrobiales	Euryarchaeota	Methanolacinia petrolearia	
arCOG01863		E3GYY6	E3GYY6_METFV	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mfv:Mfer_0719;	Methanobacteria	Methanothermaceae	Methanothermus		Methanobacteriales	Euryarchaeota	Methanothermus fervidus	
arCOG01863		E4NNF6	E4NNF6_HALBP	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	hbo:Hbor_19270;	Halobacteria	Haloferacaceae	Halogeometricum		Haloferacales	Euryarchaeota	Halogeometricum borinquense	
arCOG01863		E4NR35	E4NR35_HALBP	unreviewed	Transcriptional regulator, XRE family (XRE family transcriptional regulator)	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;		hbo:Hbor_11810;	Halobacteria	Haloferacaceae	Halogeometricum		Haloferacales	Euryarchaeota	Halogeometricum borinquense	
arCOG01863		E7QQG0	E7QQG0_9EURY	unreviewed	DNA binding domain-containing protein (Ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains)	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;			Halobacteria	Halobacteriaceae	Haladaptatus		Halobacteriales	Euryarchaeota	Haladaptatus paucihalophilus	
arCOG01863		E7QSU8	E7QSU8_9EURY	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0HI3;	PF01381;		Halobacteria	Halobacteriaceae	Haladaptatus		Halobacteriales	Euryarchaeota	Haladaptatus paucihalophilus	
arCOG01863		E8R791	E8R791_DESM0	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	dmu:Desmu_1260;	Thermoprotei	Desulfurococcaceae	Desulfurococcus		Desulfurococcales	Crenarchaeota	Desulfurococcus mobilis	
arCOG01863		F0LHF8	F0LHF8_THEBM	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	tba:TERMP_01310;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus barophilus	
arCOG01863		F0LMJ6	F0LMJ6_THEBM	unreviewed	Inosine-5'-monophosphate dehydrogenase like protein							arCOG00606;arCOG01863;COG0517;		POG093Z02K9;	PF00571;	tba:TERMP_00999;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus barophilus	
arCOG01863		F0NIK4	F0NIK4_SULIR	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	sir:SiRe_1727;	Thermoprotei	Sulfolobaceae	Sulfolobus		Sulfolobales	Crenarchaeota	Sulfolobus islandicus	
arCOG01863		F0QX05	F0QX05_VULM7	unreviewed	XRE family transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	vmo:VMUT_0913;	Thermoprotei	Thermoproteaceae	Vulcanisaeta		Thermoproteales	Crenarchaeota	Vulcanisaeta moutnovskia	
arCOG01863		F0V6W1	F0V6W1_THETE	unreviewed	Multiprotein bridging factor	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;			PF01381;		Thermoprotei	Thermoproteaceae	Thermoproteus		Thermoproteales	Crenarchaeota	Thermoproteus tenax	
arCOG01863		F2KSW3	F2KSW3_ARCVS	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	ave:Arcve_0997;	Archaeoglobi	Archaeoglobaceae	Archaeoglobus		Archaeoglobales	Euryarchaeota	Archaeoglobus veneficus	
arCOG01863		F2L2I2	F2L2I2_THEU7	unreviewed	Helix-turn-helix domain protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;		PF01381;	tuz:TUZN_1562;	Thermoprotei	Thermoproteaceae	Thermoproteus		Thermoproteales	Crenarchaeota	Thermoproteus uzoniensis	
arCOG01863		F4B816	F4B816_ACIHW	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	aho:Ahos_0807;	Thermoprotei	Sulfolobaceae	Acidianus		Sulfolobales	Crenarchaeota	Acidianus hospitalis	
arCOG01863		F4BX29	F4BX29_METSG	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mcj:MCON_0586;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	
arCOG01863		F4G247	F4G247_METCR	unreviewed	XRE family transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mcn:Mcup_2022;	Thermoprotei	Sulfolobaceae	Metallosphaera		Sulfolobales	Crenarchaeota	Metallosphaera cuprina	
arCOG01863		F4HIW5	F4HIW5_PYRSN	unreviewed	Transcription factor	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pyn:PNA2_1422;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus sp. (strain NA2)	
arCOG01863		F6BD06	F6BD06_METIK	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mig:Metig_0822;	Methanococci	Methanocaldococcaceae	Methanotorris		Methanococcales	Euryarchaeota	Methanotorris igneus (Methanococcus igneus)	
arCOG01863		F6D442	F6D442_METPW	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mew:MSWAN_0422;	Methanobacteria	Methanobacteriaceae	Methanobacterium		Methanobacteriales	Euryarchaeota	Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1)	
arCOG01863		F7XQP8	F7XQP8_METZD	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mzh:Mzhil_1812;	Methanomicrobia	Methanosarcinaceae	Methanosalsum		Methanosarcinales	Euryarchaeota	Methanosalsum zhilinae	
arCOG01863		F8AHR0	F8AHR0_PYRYC	unreviewed	Transcription factor	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pya:PYCH_05030;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus yayanosii	
arCOG01863		F8AM15	F8AM15_METOI	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]; intein-mediated protein splicing [GO:0016539]	intein-mediated protein splicing [GO:0016539]		sequence-specific DNA binding [GO:0043565]	GO:0016539; GO:0043565		arCOG01819;arCOG01863;arCOG03146;ENOG4102TNB;COG1372;COG4962;	K07332;	POG093Z01LP;	PF01381;PF00437;	mok:Metok_0716;	Methanococci	Methanococcaceae	Methanothermococcus		Methanococcales	Euryarchaeota	Methanothermococcus okinawensis	
arCOG01863		F8AMR3	F8AMR3_METOI	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mok:Metok_0923;	Methanococci	Methanococcaceae	Methanothermococcus		Methanococcales	Euryarchaeota	Methanothermococcus okinawensis	
arCOG01863		F8D4X6	F8D4X6_HALXS	unreviewed	Transcription factor of MBF1-like protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;		hxa:Halxa_4133;	Halobacteria	Natrialbaceae	Halopiger		Natrialbales	Euryarchaeota	Halopiger xanaduensis	
arCOG01863		F8DBK1	F8DBK1_HALXS	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	hxa:Halxa_2508;	Halobacteria	Natrialbaceae	Halopiger		Natrialbales	Euryarchaeota	Halopiger xanaduensis	
arCOG01863		G0EER6	G0EER6_PYRF1	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pfm:Pyrfu_1020;	Thermoprotei	Pyrodictiaceae	Pyrolobus		Desulfurococcales	Crenarchaeota	Pyrolobus fumarii	
arCOG01863		G0HMW8	G0HMW8_THES4	unreviewed	Transcription factor	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	the:GQS_09030;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sp. (strain CGMCC 1.5172 / 4557)	
arCOG01863		G0HRT5	G0HRT5_HALHT	unreviewed	DNA binding domain-containing protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;		hhi:HAH_1511;	Halobacteria	Haloarculaceae	Haloarcula		Halobacteriales	Euryarchaeota	Haloarcula hispanica	
arCOG01863		G0HXJ3	G0HXJ3_HALHT	unreviewed	Transcriptional regulator, XRE family / HTH DNA-binding protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	hhi:HAH_1108;	Halobacteria	Haloarculaceae	Haloarcula		Halobacteriales	Euryarchaeota	Haloarcula hispanica	
arCOG01863		G2MI17	G2MI17_9EURY	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	hah:Halar_3534;	Halobacteria				Haloferacales	Euryarchaeota	halophilic archaeon DL31	
arCOG01863		G2MNM3	G2MNM3_9EURY	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;		hah:Halar_3398;	Halobacteria				Haloferacales	Euryarchaeota	halophilic archaeon DL31	
arCOG01863		G4RLV7	G4RLV7_THETK	unreviewed	Multprotein bridging factor	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;		PF01381;	ttn:TTX_1938;	Thermoprotei	Thermoproteaceae	Thermoproteus		Thermoproteales	Crenarchaeota	Thermoproteus tenax	
arCOG01863		G7VBN9	G7VBN9_9CREN	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pyr:P186_2264;	Thermoprotei	Thermoproteaceae	Pyrobaculum		Thermoproteales	Crenarchaeota	Pyrobaculum ferrireducens	
arCOG01863		G7WLA0	G7WLA0_METH6	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mhi:Mhar_0831;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanosaeta harundinacea	
arCOG01863		H6QDK9	H6QDK9_PYROT	unreviewed	TIGR00270 family protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pog:Pogu_2453;	Thermoprotei	Thermoproteaceae	Pyrobaculum		Thermoproteales	Crenarchaeota	Pyrobaculum oguniense	
arCOG01863		L9UG24	L9UG24_HALBP	unreviewed	XRE family transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0HI3;	PF01381;		Halobacteria	Haloferacaceae	Halogeometricum		Haloferacales	Euryarchaeota	Halogeometricum borinquense	
arCOG01863		L9UNV9	L9UNV9_NATMM	unreviewed	XRE family transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0HI3;	PF01381;		Halobacteria	Natrialbaceae	Natrialba		Natrialbales	Euryarchaeota	Natrialba magadii	
arCOG01863		L9UV43	L9UV43_HALVD	unreviewed	HTH DNA-binding protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0HI3;	PF01381;		Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG01863		O26825	O26825_METTH	unreviewed	Conserved protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mth:MTH_729;	Methanobacteria	Methanobacteriaceae	Methanothermobacter		Methanobacteriales	Euryarchaeota	Methanothermobacter thermautotrophicus (Methanobacterium thermoformicicum)	
arCOG01863		O28302	O28302_ARCFU	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	afu:AF_1977;	Archaeoglobi	Archaeoglobaceae	Archaeoglobus		Archaeoglobales	Euryarchaeota	Archaeoglobus fulgidus	
arCOG01863		O58477	O58477_PYRHO	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pho:PH0783;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus horikoshii	
arCOG01863		Q0W256	Q0W256_METAR	unreviewed	Putative transcription factor	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	rci:RCIX2456;	Methanomicrobia	Methanocellaceae	Methanocella		Methanocellales	Euryarchaeota	Methanocella arvoryzae	
arCOG01863		Q12U90	Q12U90_METBU	unreviewed	HTH DNA-binding domain protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mbu:Mbur_2112;	Methanomicrobia	Methanosarcinaceae	Methanococcoides		Methanosarcinales	Euryarchaeota	Methanococcoides burtonii	
arCOG01863		Q18F06	Q18F06_HALWD	unreviewed	Cro/C1 family transcription regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	hwa:HQ_3361A;	Halobacteria	Haloferacaceae	Haloquadratum		Haloferacales	Euryarchaeota	Haloquadratum walsbyi	
arCOG01863		Q18GB8	Q18GB8_HALWD	unreviewed	Cro/C1 family transcription regulator							arCOG01863;COG1813;		POG093Z0JR0;		hwa:HQ_2874A;	Halobacteria	Haloferacaceae	Haloquadratum		Haloferacales	Euryarchaeota	Haloquadratum walsbyi	
arCOG01863		Q2FQ48	Q2FQ48_METHJ	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mhu:Mhun_1037;	Methanomicrobia	Methanospirillaceae	Methanospirillum		Methanomicrobiales	Euryarchaeota	Methanospirillum hungatei	
arCOG01863		Q2NF15	Q2NF15_METST	unreviewed	Predicted transcriptional regulator	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mst:Msp_1207;	Methanobacteria	Methanobacteriaceae	Methanosphaera		Methanobacteriales	Euryarchaeota	Methanosphaera stadtmanae	
arCOG01863		Q46EU1	Q46EU1_METBF	unreviewed	Transcriptional regulator, XRE family	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mba:Mbar_A0621;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina barkeri	
arCOG01863		Q4JAZ0	Q4JAZ0_SULAC	unreviewed	Conserved Archaeal HTH domain protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	sai:Saci_0655;	Thermoprotei	Sulfolobaceae	Sulfolobus		Sulfolobales	Crenarchaeota	Sulfolobus acidocaldarius	
arCOG01863		Q58006	Y586_METJA	reviewed	Uncharacterized HTH-type transcriptional regulator MJ0586	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mja:MJ_0586;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus jannaschii	
arCOG01863		Q5JFF8	Q5JFF8_THEKO	unreviewed	Predicted transcription regulator, containing DNA-binding HTH domain	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	tko:TK0126;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus kodakarensis	
arCOG01863		Q5V3Q0	Q5V3Q0_HALMA	unreviewed	Putative DNA binding domain	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;		POG093Z0JR0;		hma:rrnAC0872;	Halobacteria	Haloarculaceae	Haloarcula		Halobacteriales	Euryarchaeota	Haloarcula marismortui	
arCOG01863		Q5V4J9	Q5V4J9_HALMA	unreviewed	HTH DNA-binding protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	hma:rrnAC0535;	Halobacteria	Haloarculaceae	Haloarcula		Halobacteriales	Euryarchaeota	Haloarcula marismortui	
arCOG01863		Q6KZQ6	Q6KZQ6_PICTO	unreviewed	HTH DNA binding protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pto:PTO1211;	Thermoplasmata	Picrophilaceae	Picrophilus		Thermoplasmatales	Euryarchaeota	Picrophilus torridus	
arCOG01863		Q6LWR1	Q6LWR1_METMP	unreviewed	Conserved hypothetical archaeal protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mmp:MMP1646;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	
arCOG01863		Q74N97	Q74N97_NANEQ	unreviewed	NEQ143	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;		PF01381;	neq:NEQ143;		Nanoarchaeaceae	Nanoarchaeum		Nanoarchaeales	Nanoarchaeota	Nanoarchaeum equitans	
arCOG01863		Q877H8	Q877H8_9CREN	unreviewed	Putative MBP-like protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;			PF01381;		Thermoprotei	Sulfolobaceae	Sulfolobus		Sulfolobales	Crenarchaeota	Sulfolobus acidocaldarius	
arCOG01863		Q8PY59	Q8PY59_METMA	unreviewed	Zinc finger protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mma:MM_1005;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG01863		Q8TI89	Q8TI89_METAC	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mac:MA_4267;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG01863		Q8TY57	Q8TY57_METKA	unreviewed	Predicted transcription factor, homolog of eukaryotic MBF1	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	mka:MK0449;	Methanopyri	Methanopyraceae	Methanopyrus		Methanopyrales	Euryarchaeota	Methanopyrus kandleri	
arCOG01863		Q8U3F6	Q8U3F6_PYRFU	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pfu:PF0512;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus furiosus	
arCOG01863		Q8ZYG8	Q8ZYG8_PYRAE	unreviewed	Conserved helix-turn-helix protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	pai:PAE0783;	Thermoprotei	Thermoproteaceae	Pyrobaculum		Thermoproteales	Crenarchaeota	Pyrobaculum aerophilum	
arCOG01863		Q975U1	Q975U1_SULTO	unreviewed	Putative Xre family DNA-binding protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	sto:STK_03310;	Thermoprotei	Sulfolobaceae	Sulfurisphaera		Sulfolobales	Crenarchaeota	Sulfurisphaera tokodaii	
arCOG01863		Q979P3	Q979P3_THEVO	unreviewed	Uncharacterized protein	sequence-specific DNA binding [GO:0043565]			sequence-specific DNA binding [GO:0043565]	GO:0043565		arCOG01863;COG1813;	K03627;	POG093Z0HI3;	PF01381;	tvo:TVG1149034;	Thermoplasmata	Thermoplasmataceae	Thermoplasma		Thermoplasmatales	Euryarchaeota	Thermoplasma volcanium	
